date,1,2,3,4,5,6,7
20160115,16.19466476406211,,,,,,
20160116,16.268571724837603,16.23496181929926,,,,,
20160117,16.55025925814804,16.247658455473964,16.14617725261506,,,,
20160118,16.54013010281636,16.450188139701364,16.15834340429598,16.02950031341841,,,
20160119,16.344448102618465,16.425402814334767,16.32147433104685,16.002610145246674,15.875740745166965,,
20160120,16.063949752070524,16.251074017015753,16.3031600617459,16.157563704277173,15.857465474222556,15.79802556816395,
20160121,16.01011011685615,15.994862293672329,16.135319415662515,16.146134247578054,16.045483496023873,15.804821432459423,15.898451411387938
20160122,16.006375089325154,15.978022482783098,15.890824027339622,15.993940757165003,16.056073152497184,16.012456963161473,15.896725867666976
20160123,15.964647916273444,15.972823414209595,15.86449052064072,15.759520567543507,15.893722994213249,15.99981481784112,16.044973579156487
20160124,15.686347363517468,15.894827769573915,15.823329892206992,15.721801677630616,15.693474446731518,15.866540071255418,16.027627858080336
20160125,15.372459741968884,15.575670561875613,15.705874588551687,15.642844162570915,15.640968501888468,15.657290649661409,15.905732351131906
20160126,15.1719772043479,15.265377734041692,15.392166199175975,15.552336189062,15.581700883089928,15.60893722845398,15.713887415260892
20160127,15.11577576455446,15.115879404022529,15.140404562270826,15.336470135345392,15.524362080268027,15.582178479401552,15.681653670906822
20160128,15.200213082932361,15.136445961969791,15.060220735876303,15.117333027695825,15.310467847565064,15.566150689086893,15.679495672807494
20160129,15.393396517191263,15.26484511265166,15.109038130681768,15.041876015803805,15.126813367903942,15.34271094084022,15.662015861491726
20160130,15.606364939594402,15.452619528280607,15.232669331608342,15.08403804724216,15.078893469523003,15.174438374602538,15.429535706552175
20160131,15.690067966998784,15.593271107829441,15.350533583783278,15.155958495842299,15.078320247104243,15.097002062560001,15.22462338300728
20160201,15.639965496211655,15.573919909623726,15.395109773758795,15.178554571001925,15.037598483737625,15.00569515696604,15.048944868595072
20160202,nan,15.26544664894572,15.077786557266087,15.001515387903247,14.957313154771281,14.97261546880945,15.076829761970654
20160203,nan,nan,15.1360965794331,15.059924241521772,15.054307409731614,15.020284281881146,15.09741608620822
20160204,nan,nan,nan,15.07725019630762,15.072947555710517,15.055082568845892,15.10216373544915
20160205,nan,nan,nan,nan,15.029277943968584,15.02594331737222,15.085925460853975
20160206,nan,nan,nan,nan,nan,14.969214064205309,15.043641092105371
20160207,nan,nan,nan,nan,nan,nan,15.035771437444842
20160208,nan,nan,nan,nan,nan,nan,nan
20160209,nan,nan,nan,nan,nan,nan,nan
20160210,nan,nan,nan,nan,nan,nan,nan
20160211,nan,nan,nan,nan,nan,nan,nan
20160212,nan,nan,nan,nan,nan,nan,nan
20160213,nan,nan,nan,nan,nan,nan,nan
20160214,nan,nan,nan,nan,nan,nan,nan
